ID,TIME,WID,TSD,X,Y,pressure,speed,direct,KTS,KT1,KT2,KT3,KT4,KT5,ID2
0,2019/8/4 14:00,1564898400,TD,131.5,16.7,1000,15,北,8,0,0,0,0,0,2.02E+11
1,2019/8/4 17:00,1564909200,TS,131.5,17.1,998,18,北,6,30KTS,200,350,420,250,2.02E+11
2,2019/8/4 20:00,1564920000,TS,131.3,17.4,998,18,西北,5,30KTS,200,350,420,250,2.02E+11
3,2019/8/4 23:00,1564930800,TS,130.9,17.7,995,20,西西北,5,30KTS,200,350,420,250,2.02E+11
4,2019/8/5 2:00,1564941600,TS,130.5,17.9,990,23,西北,4,30KTS,200,350,450,300,2.02E+11
5,2019/8/5 5:00,1564952400,TS,130.4,18,990,23,西西北,8,30KTS,200,350,450,300,2.02E+11
6,2019/8/5 8:00,1564963200,TS,130.2,18.5,990,23,西西北,5,30KTS,200,350,450,300,2.02E+11
7,2019/8/5 11:00,1564974000,TS,130,18.9,990,23,西西北,5,30KTS,200,350,450,300,2.02E+11
8,2019/8/5 14:00,1564984800,TS,129.7,19,990,23,西,6,30KTS,200,350,450,300,2.02E+11
9,2019/8/5 17:00,1564995600,TS,129.6,19,990,23,西西北,5,30KTS,200,350,450,300,2.02E+11
10,2019/8/5 20:00,1565006400,TS,129.4,19,990,23,西西北,7,30KTS,200,350,450,300,2.02E+11
11,2019/8/5 23:00,1565017200,TS,129.3,19,990,23,西,6,30KTS,200,350,450,300,2.02E+11
12,2019/8/6 2:00,1565028000,STS,129.2,18.6,985,25,西北,6,30KTS,200,350,450,300,2.02E+11
13,2019/8/6 5:00,1565038800,STS,129,18.6,982,28,西北,6,30KTS,200,350,450,300,2.02E+11
14,2019/8/6 8:00,1565049600,STS,129,18.9,982,28,西西北,8,30KTS,200,350,450,300,2.02E+11
15,2019/8/6 11:00,1565060400,STS,129,19,982,28,西北,10,30KTS,200,350,450,300,2.02E+11
16,2019/8/6 14:00,1565071200,STS,128.9,19.2,982,28,西西北,10,30KTS,200,350,450,300,2.02E+11
17,2019/8/6 17:00,1565082000,STS,128.8,19.5,982,28,西西北,10,30KTS,250,300,350,200,2.02E+11
18,2019/8/6 20:00,1565092800,STS,128.4,19.6,980,30,西北,15,30KTS,250,300,350,200,2.02E+11
19,2019/8/6 23:00,1565103600,STS,128.4,19.7,980,30,西北,12,30KTS,250,300,350,200,2.02E+11
20,2019/8/7 2:00,1565114400,STS,128.2,19.8,980,30,西北,12,30KTS,250,300,350,200,2.02E+11
21,2019/8/7 5:00,1565125200,TY,128.1,19.8,975,33,西北,12,30KTS,250,300,350,200,2.02E+11
22,2019/8/7 8:00,1565136000,TY,128.1,20.2,975,33,西北,16,30KTS,250,300,350,200,2.02E+11
23,2019/8/7 11:00,1565146800,TY,128,20.7,970,35,西北,15,30KTS,250,300,350,220,2.02E+11
24,2019/8/7 14:00,1565157600,TY,127.7,20.9,955,40,西北,15,30KTS,250,300,350,220,2.02E+11
